word	count
recession	164682
inflation	47477
economy	23773
will	17556
fed	14914
edition	13097
amp	11018
market	10481
now	9009
stockmarket	8405
economic	7412
stocks	7351
layoffs	7129
jobs	6805
news	6380
global	6206
markets	6060
business	5877
time	5816
biden	5782
gdp	5744
rates	5628
bubble	5581
crypto	5456
money	5412
going	5268
gfc2	5259
housing	5066
people	4852
prices	4791
year	4771
layoff	4689
growth	4634
rate	4634
next	4568
one	4404
new	4398
coming	4293
investing	4222
via	4222
read	4210
see	4193
gold	4188
bitcoin	4186
high	3935
usa	3771
oil	3729
still	3659
world	3656
crisis	3653
financial	3646
says	3589
may	3512
interest	3486
usd	3482
china	3414
federalreserve	3401
think	3377
energy	3356
fears	3299
thelayoff	3266
last	3138
risk	3131
know	3120
even	3107
spy	3102
already	3087
btc	3064
months	3058
interestrates	3028
stagflation	3023
debt	2980
gas	2931
spx	2918
today	2913
years	2886
bonds	2874
good	2866
back	2809
stockmarketcrash	2784
need	2780
real	2769
price	2742
make	2713
finance	2663
right	2648
whitecollarjobs	2644
stock	2579
week	2537
it’s	2527
bank	2520
economics	2518
data	2488
much	2471
tech	2464
ukraine	2459
say	2457
way	2436
liquidity	2434
dont	2419
investors	2408
trading	2407
job	2402
take	2399
depression	2395
many	2346
silver	2324
help	2294
unemployment	2281
europe	2273
squeeze	2229
spending	2224
bidenflation	2224
dollar	2214
might	2193
said	2183
keep	2179
realestate	2166
likely	2166
consumer	2146
food	2140
definition	2140
low	2131
war	2128
first	2124
higher	2105
récession	2054
well	2030
two	2016
intel	2005
russia	2005
pushing	2005
rising	2000
great	1991
big	1975
doesnt	1972
long	1965
bad	1962
ahead	1953
negative	1950
latest	1946
crash	1943
cpi	1942
another	1923
end	1914
demand	1886
buy	1876
report	1860
look	1850
joebiden	1845
fall	1844
yield	1842
yet	1830
recession2022	1826
watch	1821
america	1819
banks	1817
democrats	1817
quarter	1815
intc	1810
bearmarket	1810
potus	1802
times	1802
want	1796
government	1796
hikes	1790
nasdaq	1781
day	1770
india	1759
companies	1758
gasprices	1738
qcom	1737
powell	1730
start	1722
live	1720
housingmarket	1716
string	1711
better	1702
investment	1683
around	1683
come	1676
sales	1669
potential	1663
fomc	1660
change	1646
worse	1645
les	1641
hit	1639
work	1622
ecb	1617
cryptocurrency	1615
due	1600
don’t	1583
cryptocrash	1583
qqq	1580
recessionrecession	1579
earnings	1570
learn	1569
current	1566
commodities	1557
