word	count_Q12	count_Q34	growth	importance
jobs	482	6323	12.118257261410788	0.007923542760932567
business	868	5009	4.77073732718894	0.006843006731227142
job	409	1993	3.8728606356968216	0.0027968184734401217
finance	516	2147	3.1608527131782944	0.0031007192317947727
europe	441	1832	3.1541950113378685	0.002646614650345294
gdp	1133	4611	3.06972639011474	0.006688145425245653
help	463	1831	2.9546436285097193	0.002671066435500266
debt	613	2367	2.8613376835236544	0.003469824750562682
read	868	3342	2.8502304147465436	0.0049020007382110375
usa	793	2978	2.755359394703657	0.004390841991399958
via	905	3317	2.665193370165746	0.004915973186871022
need	602	2178	2.617940199335548	0.003236950606229616
trading	525	1882	2.584761904761905	0.002802640327048448
make	593	2120	2.57504215851602	0.003158937767878039
joebiden	404	1441	2.5668316831683167	0.002148263981472533
new	971	3427	2.529351184346035	0.00512090243388412
know	690	2430	2.5217391304347827	0.0036328366515958285
silver	515	1809	2.512621359223301	0.002705997557150226
unemployment	510	1771	2.4725490196078432	0.0026559296161186166
potus	403	1399	2.4714640198511164	0.0020981960404409237
times	404	1398	2.4603960396039604	0.0020981960404409237
two	452	1564	2.4601769911504423	0.0023473713748773046
data	559	1929	2.4508050089445437	0.00289695435550334
financial	823	2823	2.4301336573511545	0.004245295651191792
economic	1676	5736	2.4224343675417663	0.008630315788983423
ahead	444	1509	2.3986486486486487	0.0022740160194123886
day	403	1367	2.392059553349876	0.0020609361773476333
spending	510	1714	2.3607843137254902	0.002589560484983693
growth	1084	3550	2.274907749077491	0.005395693924197137
récession	481	1573	2.27027027027027	0.002391617462300587
energy	787	2569	2.264294790343075	0.0039076281419088464
people	1147	3705	2.230165649520488	0.005649526741520179
keep	516	1663	2.2228682170542635	0.0025371638025087533
today	691	2222	2.215629522431259	0.003391811912211105
dont	576	1843	2.1996527777777777	0.0028166127757084324
still	873	2786	2.191294387170676	0.004260432470573441
watch	437	1384	2.1670480549199085	0.002120319084152565
look	446	1404	2.1479820627802693	0.0021540858350808595
recession	39767	124916	2.141197475293585	0.1917508991852898
fears	801	2498	2.118601747815231	0.003841259010773922
